generation fossil gas,generation fossil oil,generation hydro pumped storage consumption,generation hydro water reservoir,generation solar,forecast solar day ahead,total load actual,price day ahead,total load forecast
3033.0,243.0,129.0,5753.0,502.0,103.0,27964.0,39.71,28421.0
3136.0,244.0,0.0,5946.0,355.0,111.0,29694.0,44.0,30293.0
3061.0,245.0,0.0,5985.0,291.0,157.0,29874.0,41.21,30828.0
3224.0,247.0,117.0,5519.0,207.0,136.0,28979.0,35.69,29896.0
3529.0,248.0,587.0,4505.0,117.0,78.0,26863.0,30.23,27700.0
3981.0,323.0,1045.0,1991.0,692.0,584.0,25254.0,24.65,25481.0
3997.0,310.0,1257.0,1867.0,684.0,640.0,23620.0,20.2,23734.0
3787.0,306.0,1629.0,1414.0,648.0,551.0,22606.0,19.16,22658.0
3724.0,311.0,1962.0,1355.0,640.0,508.0,22191.0,21.9,22130.0
3578.0,310.0,2185.0,1431.0,563.0,445.0,21929.0,14.9,21879.0
3676.0,310.0,1795.0,1534.0,372.0,288.0,22195.0,24.65,22230.0
3702.0,320.0,1341.0,2284.0,179.0,134.0,24035.0,28.01,23903.0
3569.0,325.0,378.0,3188.0,129.0,33.0,26807.0,27.51,26742.0
3314.0,359.0,0.0,3521.0,357.0,379.0,28316.0,33.96,28481.0
3183.0,368.0,0.0,4286.0,1634.0,1381.0,29871.0,38.0,29705.0
3168.0,370.0,17.0,3921.0,3830.0,3378.0,30585.0,37.17,30656.0
3207.0,371.0,119.0,4023.0,4937.0,4727.0,30772.0,35.01,30717.0
3279.0,371.0,72.0,3997.0,5302.0,5221.0,30685.0,38.0,30616.0
3295.0,362.0,69.0,3760.0,5590.0,5765.0,30429.0,38.12,30287.0
3141.0,369.0,69.0,3077.0,5668.0,5661.0,28741.0,30.4,29451.0
3118.0,365.0,69.0,2602.0,5593.0,5540.0,28249.0,27.58,28730.0
3131.0,374.0,112.0,2553.0,5316.0,5319.0,28105.0,27.56,28393.0
3303.0,383.0,251.0,2925.0,4907.0,4766.0,27908.0,27.5,28062.0
3368.0,381.0,506.0,3446.0,4200.0,3965.0,27577.0,26.53,27317.0
3434.0,383.0,789.0,4365.0,2911.0,2680.0,27418.0,30.0,27189.0
3604.0,385.0,416.0,5936.0,1392.0,1189.0,28604.0,39.7,28914.0
3874.0,389.0,0.0,5856.0,748.0,750.0,30346.0,40.48,30333.0
3447.0,394.0,0.0,4684.0,696.0,643.0,28190.0,37.97,28341.0
3390.0,391.0,79.0,3776.0,672.0,647.0,26270.0,28.0,26412.0
5338.0,352.0,650.0,2086.0,691.0,399.0,25069.0,43.49,25149.0
5352.0,310.0,938.0,2458.0,668.0,588.0,23390.0,35.5,23630.0
4791.0,311.0,1021.0,2140.0,662.0,566.0,21988.0,35.2,22590.0
4791.0,311.0,1021.0,2140.0,662.0,546.0,21182.0,35.2,21912.0
4390.0,308.0,2067.0,2531.0,570.0,386.0,20778.0,30.6,21369.0
4108.0,300.0,2228.0,2439.0,428.0,277.0,20309.0,30.6,20723.0
4396.0,291.0,2365.0,2583.0,243.0,161.0,20252.0,30.6,20498.0
4227.0,301.0,2321.0,2740.0,155.0,195.0,19964.0,30.0,19736.0
4017.0,317.0,2071.0,2480.0,500.0,685.0,20796.0,30.6,19970.0
4243.0,331.0,1465.0,2575.0,1333.0,1669.0,22478.0,35.3,21590.0
3993.0,337.0,1216.0,2286.0,2482.0,3011.0,23834.0,35.2,22987.0
3900.0,333.0,1166.0,2209.0,3339.0,3344.0,24429.0,35.4,23271.0
3900.0,333.0,1166.0,2209.0,3339.0,3932.0,24429.0,35.5,23209.0
3900.0,333.0,1166.0,2209.0,3339.0,4236.0,24429.0,36.8,23725.0
3900.0,333.0,1166.0,2209.0,3339.0,4215.0,24429.0,32.5,23614.0
3900.0,333.0,1166.0,2209.0,3339.0,4050.0,24429.0,30.0,22381.0
3900.0,333.0,1166.0,2209.0,3339.0,3728.0,24429.0,30.0,21371.0
3900.0,333.0,1166.0,2209.0,3339.0,3175.0,24429.0,30.6,20760.0
4003.0,336.0,1242.0,2156.0,2944.0,2658.0,21888.0,42.01,20654.0
4181.0,333.0,651.0,1843.0,1971.0,1764.0,22048.0,51.4,20904.0
4607.0,334.0,108.0,2291.0,958.0,946.0,22858.0,55.35,22334.0
5329.0,326.0,0.0,3732.0,605.0,483.0,25604.0,62.0,25504.0
5682.0,334.0,45.0,3613.0,518.0,324.0,25381.0,60.01,25938.0
5699.0,328.0,193.0,3044.0,394.0,347.0,23822.0,57.6,23892.0
4359.0,257.0,99.0,1218.0,626.0,544.0,23711.0,53.01,24086.0
4502.0,258.0,693.0,1620.0,624.0,513.0,22354.0,45.65,22554.0
4393.0,266.0,1000.0,1862.0,616.0,466.0,21546.0,44.04,21566.0
4386.0,262.0,1053.0,1834.0,582.0,481.0,21171.0,43.58,21211.0
4453.0,266.0,1052.0,1758.0,576.0,486.0,21042.0,43.98,21074.0
4589.0,263.0,1016.0,1793.0,499.0,434.0,21618.0,44.91,21579.0
4818.0,257.0,323.0,1435.0,415.0,399.0,23433.0,51.0,23250.0
4862.0,283.0,17.0,2369.0,412.0,475.0,25885.0,55.76,25560.0
5143.0,343.0,0.0,3860.0,1168.0,1408.0,28456.0,59.95,27900.0
4842.0,368.0,0.0,4119.0,3018.0,3077.0,29708.0,60.5,29463.0
4604.0,361.0,0.0,4449.0,4129.0,4070.0,30887.0,61.29,30133.0
4475.0,351.0,0.0,4584.0,4642.0,4629.0,31409.0,61.69,30558.0
4376.0,349.0,0.0,4579.0,4976.0,4919.0,31947.0,61.95,31035.0
4512.0,356.0,0.0,4335.0,5044.0,5014.0,32078.0,61.29,31154.0
4178.0,365.0,0.0,4167.0,4887.0,4875.0,31193.0,60.09,30381.0
4035.0,366.0,0.0,3084.0,4641.0,4686.0,30542.0,60.5,29581.0
3821.0,364.0,95.0,3290.0,4279.0,4404.0,30591.0,60.69,29085.0
4059.0,362.0,5.0,3454.0,3824.0,3907.0,30799.0,60.69,29155.0
4472.0,356.0,0.0,3349.0,3132.0,3456.0,30481.0,58.9,28943.0
4553.0,351.0,0.0,3119.0,2383.0,2719.0,30147.0,57.0,29013.0
4490.0,365.0,0.0,3009.0,1586.0,1615.0,30120.0,57.0,29307.0
4664.0,364.0,0.0,3921.0,891.0,924.0,30747.0,59.88,29896.0
4684.0,360.0,0.0,3834.0,696.0,632.0,29978.0,59.6,29310.0
4728.0,352.0,0.0,2778.0,669.0,495.0,27421.0,55.76,26817.0
4659.0,371.0,0.0,1982.0,1280.0,597.0,30518.0,59.52,30239.0
4199.0,370.0,137.0,1483.0,1253.0,514.0,28484.0,51.1,28031.0
4448.0,368.0,482.0,1003.0,1231.0,542.0,27026.0,47.03,26635.0
4157.0,360.0,747.0,626.0,1223.0,551.0,26248.0,48.5,26076.0
4001.0,360.0,845.0,563.0,1189.0,550.0,25838.0,48.79,25734.0
4219.0,360.0,700.0,610.0,1142.0,457.0,26021.0,50.51,25889.0
4338.0,364.0,209.0,1363.0,1043.0,592.0,26992.0,59.13,27135.0
4954.0,374.0,0.0,2280.0,979.0,871.0,28625.0,60.8,29269.0
5447.0,378.0,0.0,3192.0,1336.0,1821.0,31015.0,61.87,31596.0
5881.0,381.0,0.0,4420.0,2121.0,3169.0,33276.0,64.23,33540.0
6076.0,364.0,0.0,3674.0,2841.0,4356.0,34221.0,66.5,34919.0
5726.0,367.0,0.0,3289.0,3556.0,4651.0,34796.0,67.1,35376.0
5583.0,362.0,0.0,3131.0,3756.0,4654.0,35535.0,66.1,36279.0
5637.0,367.0,0.0,2709.0,3639.0,4593.0,35752.0,65.0,36886.0
5684.0,369.0,0.0,1912.0,4133.0,4414.0,35605.0,59.75,36199.0
6098.0,367.0,0.0,1479.0,4896.0,4049.0,36020.0,59.61,35918.0
6242.0,367.0,0.0,1191.0,4647.0,3887.0,36066.0,59.53,36366.0
6056.0,368.0,0.0,1458.0,4184.0,4055.0,36195.0,61.1,36676.0
5839.0,364.0,0.0,1965.0,3631.0,3523.0,35739.0,61.1,36275.0
6477.0,371.0,0.0,2384.0,2772.0,2670.0,35188.0,61.1,35664.0
6316.0,354.0,0.0,2566.0,2013.0,1612.0,34470.0,61.87,34828.0
5881.0,386.0,0.0,2622.0,1193.0,743.0,33716.0,63.71,34241.0
5785.0,384.0,6.0,2412.0,636.0,462.0,32697.0,64.1,33972.0
5519.0,381.0,137.0,1414.0,573.0,480.0,30477.0,59.13,32057.0
4178.0,383.0,398.0,831.0,433.0,443.0,26788.0,49.0,27766.0
3912.0,370.0,392.0,942.0,391.0,363.0,25146.0,46.86,26176.0
3718.0,372.0,956.0,882.0,352.0,295.0,23889.0,45.68,24974.0
3768.0,373.0,1088.0,934.0,328.0,276.0,23046.0,44.99,24173.0
3707.0,373.0,1027.0,799.0,327.0,244.0,22587.0,44.81,23779.0
3706.0,361.0,1348.0,781.0,320.0,212.0,22361.0,44.68,23503.0
3946.0,354.0,1804.0,943.0,265.0,235.0,22551.0,44.81,23493.0
3890.0,347.0,1638.0,888.0,223.0,420.0,22543.0,44.81,23562.0
4066.0,332.0,508.0,1147.0,708.0,1166.0,24042.0,46.85,24929.0
4535.0,305.0,198.0,965.0,2225.0,2373.0,25932.0,49.0,27227.0
4441.0,315.0,104.0,1153.0,3943.0,3681.0,27664.0,54.36,29193.0
4513.0,315.0,0.0,1333.0,4514.0,4451.0,28448.0,61.98,29950.0
4654.0,311.0,6.0,1795.0,4926.0,4940.0,28881.0,62.47,30333.0
4760.0,311.0,27.0,2275.0,5067.0,5172.0,29329.0,62.93,30711.0
4591.0,269.0,32.0,2198.0,5092.0,5163.0,29026.0,61.98,30055.0
4964.0,263.0,10.0,1776.0,5019.0,4994.0,28237.0,57.48,29123.0
5046.0,259.0,0.0,1445.0,4803.0,4740.0,27868.0,54.38,28632.0
4899.0,258.0,0.0,1478.0,4507.0,4391.0,27654.0,54.36,28356.0
4677.0,258.0,0.0,1236.0,4010.0,3790.0,27507.0,52.04,28124.0
4606.0,270.0,0.0,1435.0,3321.0,2928.0,27544.0,54.38,27922.0
4805.0,295.0,84.0,2430.0,2089.0,1860.0,27578.0,60.33,27925.0
4932.0,301.0,81.0,3302.0,957.0,997.0,28222.0,66.0,28578.0
5136.0,301.0,4.0,3461.0,721.0,689.0,28221.0,63.6,28862.0
5209.0,302.0,0.0,2426.0,691.0,581.0,26436.0,55.5,27334.0
5410.0,314.0,0.0,1930.0,39.0,72.0,27485.0,60.47,27430.0
4445.0,301.0,62.0,1819.0,38.0,72.0,25750.0,52.88,25783.0
4287.0,297.0,167.0,1347.0,37.0,73.0,24760.0,48.62,24718.0
4223.0,296.0,557.0,943.0,37.0,42.0,24188.0,47.69,24185.0
4178.0,298.0,734.0,655.0,36.0,29.0,23840.0,45.85,23980.0
4283.0,288.0,753.0,682.0,41.0,41.0,24030.0,45.78,24139.0
4444.0,299.0,468.0,1561.0,45.0,34.0,25965.0,49.3,25737.0
5068.0,299.0,297.0,1801.0,58.0,65.0,28266.0,55.93,27995.0
5684.0,333.0,43.0,1932.0,317.0,386.0,29981.0,60.47,29747.0
6295.0,348.0,0.0,2736.0,1107.0,1217.0,31932.0,57.5,31824.0
6674.0,352.0,0.0,3238.0,2133.0,2336.0,33325.0,59.57,33063.0
6918.0,353.0,0.0,2941.0,3193.0,3164.0,34144.0,60.47,33748.0
6848.0,360.0,0.0,2898.0,3932.0,3407.0,35040.0,63.52,34392.0
6954.0,364.0,0.0,3092.0,4156.0,3874.0,35524.0,63.69,34891.0
7022.0,374.0,0.0,2380.0,4285.0,4218.0,34579.0,60.47,33853.0
6520.0,366.0,1.0,2283.0,4135.0,4084.0,33792.0,60.1,32981.0
6377.0,372.0,0.0,2083.0,3883.0,3846.0,33768.0,62.53,32846.0
6247.0,386.0,4.0,1983.0,3513.0,3394.0,33696.0,63.01,32833.0
6189.0,390.0,167.0,1629.0,3253.0,2711.0,33154.0,62.29,32283.0
5975.0,391.0,433.0,1789.0,2403.0,1832.0,32440.0,61.51,31942.0
6141.0,397.0,183.0,2676.0,1060.0,931.0,32384.0,65.5,32045.0
6476.0,388.0,50.0,3161.0,530.0,440.0,33976.0,67.67,33356.0
5953.0,395.0,1.0,2007.0,444.0,424.0,31420.0,61.51,31269.0
5207.0,384.0,0.0,1037.0,386.0,417.0,28825.0,54.9,28845.0
5151.0,412.0,321.0,2092.0,384.0,268.0,24899.0,56.65,24575.0
5181.0,399.0,391.0,1522.0,167.0,196.0,23505.0,53.5,23348.0
4917.0,389.0,472.0,787.0,102.0,202.0,22589.0,49.69,22480.0
4496.0,386.0,488.0,696.0,103.0,61.0,22177.0,49.1,22330.0
4488.0,385.0,660.0,617.0,102.0,45.0,22025.0,51.25,22165.0
4645.0,371.0,490.0,746.0,102.0,35.0,22426.0,53.6,22491.0
5093.0,386.0,150.0,1643.0,102.0,27.0,24361.0,58.02,24284.0
5641.0,401.0,0.0,3923.0,103.0,31.0,27890.0,63.03,27772.0
6096.0,423.0,0.0,4236.0,233.0,237.0,29335.0,63.56,29263.0
5896.0,431.0,0.0,4410.0,1209.0,1093.0,29951.0,64.66,29664.0
5695.0,436.0,0.0,4438.0,2927.0,2703.0,30452.0,63.9,30369.0
5666.0,425.0,121.0,4006.0,4515.0,4196.0,30856.0,61.9,30650.0
5580.0,419.0,166.0,3769.0,5044.0,4699.0,31449.0,60.9,30964.0
5449.0,420.0,9.0,3092.0,5107.0,5068.0,31218.0,59.8,30930.0
5433.0,425.0,0.0,2314.0,4900.0,4903.0,30458.0,56.8,29821.0
5395.0,420.0,72.0,2074.0,4463.0,4585.0,29836.0,53.6,29284.0
5288.0,410.0,83.0,1941.0,4215.0,3645.0,29781.0,53.5,29705.0
5262.0,428.0,83.0,1661.0,3756.0,3526.0,29929.0,54.9,29953.0
5437.0,428.0,72.0,1422.0,2857.0,2622.0,29638.0,55.26,29914.0
5800.0,439.0,0.0,3529.0,1303.0,1492.0,29950.0,61.0,29920.0
6067.0,423.0,0.0,4241.0,633.0,723.0,32244.0,61.69,32363.0
6088.0,427.0,60.0,4240.0,510.0,496.0,31900.0,61.0,31869.0
5814.0,429.0,190.0,2362.0,497.0,453.0,28690.0,56.8,28549.0
5385.0,427.0,300.0,1022.0,466.0,461.0,26219.0,53.0,26142.0
4827.0,211.0,753.0,1549.0,26.0,23.0,22460.0,53.21,22654.0
4185.0,211.0,896.0,1001.0,25.0,3.0,21033.0,36.1,21215.0
4066.0,211.0,1176.0,954.0,25.0,14.0,19977.0,34.0,20177.0
3994.0,210.0,1799.0,726.0,25.0,17.0,19389.0,31.0,19623.0
3922.0,194.0,2226.0,780.0,25.0,32.0,19126.0,25.17,19453.0
3965.0,200.0,2285.0,529.0,25.0,27.0,19199.0,25.46,19430.0
3945.0,209.0,2289.0,521.0,23.0,10.0,19404.0,26.56,19825.0
3973.0,211.0,2324.0,599.0,35.0,35.0,19500.0,26.25,20080.0
4078.0,211.0,2497.0,532.0,394.0,348.0,20182.0,26.26,20529.0
4220.0,212.0,2946.0,787.0,1228.0,1019.0,22121.0,27.3,22303.0
4085.0,212.0,2892.0,714.0,2045.0,2140.0,23589.0,27.42,23863.0
3728.0,213.0,2570.0,564.0,2423.0,2592.0,24238.0,27.87,24372.0
3863.0,213.0,2604.0,863.0,2437.0,2741.0,24271.0,28.24,24563.0
3946.0,212.0,2204.0,773.0,2022.0,2672.0,24713.0,27.49,24976.0
3789.0,213.0,1879.0,681.0,1630.0,2300.0,24477.0,27.27,24827.0
3758.0,211.0,1965.0,788.0,1334.0,1672.0,23377.0,24.14,23696.0
4071.0,210.0,1934.0,1009.0,860.0,880.0,23037.0,24.65,23021.0
3982.0,210.0,1284.0,909.0,254.0,354.0,23049.0,31.0,23123.0
3682.0,211.0,453.0,1445.0,57.0,42.0,25259.0,41.7,25036.0
3508.0,214.0,140.0,1753.0,54.0,10.0,26520.0,50.34,26555.0
3506.0,213.0,149.0,1741.0,55.0,0.0,27123.0,46.48,26981.0
3375.0,214.0,460.0,1660.0,34.0,5.0,27025.0,40.0,27054.0
3606.0,213.0,673.0,1512.0,31.0,7.0,25889.0,36.9,25990.0
3758.0,206.0,1168.0,759.0,31.0,3.0,23940.0,32.79,23997.0
6789.0,401.0,290.0,2221.0,44.0,21.0,27085.0,66.17,27051.0
6012.0,386.0,499.0,1075.0,42.0,18.0,25272.0,61.57,25157.0
5459.0,380.0,686.0,692.0,42.0,8.0,24121.0,56.7,24059.0
5248.0,378.0,771.0,459.0,42.0,15.0,23626.0,54.5,23630.0
5409.0,375.0,854.0,471.0,42.0,11.0,23572.0,53.96,23522.0
5644.0,378.0,712.0,500.0,42.0,11.0,24070.0,56.7,24139.0
6915.0,379.0,405.0,1177.0,42.0,13.0,26787.0,62.69,26643.0
8118.0,399.0,34.0,3669.0,45.0,31.0,31511.0,69.37,31303.0
8974.0,417.0,2.0,5393.0,157.0,188.0,34046.0,68.0,34166.0
9546.0,411.0,48.0,4942.0,1104.0,1051.0,34876.0,70.5,34902.0
9728.0,415.0,311.0,4414.0,2190.0,2116.0,35093.0,70.5,35302.0
9668.0,421.0,417.0,3815.0,3012.0,2841.0,34588.0,68.5,34926.0
9752.0,425.0,417.0,3429.0,3262.0,3487.0,34347.0,67.2,34461.0
9860.0,431.0,247.0,3114.0,3208.0,3466.0,34146.0,66.46,34077.0
9443.0,433.0,2.0,2553.0,3027.0,3264.0,32884.0,64.76,32951.0
9672.0,424.0,2.0,2572.0,2630.0,2491.0,32422.0,64.76,32532.0
10336.0,423.0,2.0,2985.0,1615.0,1548.0,32502.0,65.23,32380.0
11171.0,421.0,1.0,4305.0,422.0,817.0,33509.0,66.5,33392.0
12227.0,422.0,1.0,5946.0,86.0,333.0,35896.0,72.5,36018.0
12415.0,420.0,2.0,5661.0,63.0,53.0,36615.0,72.58,36757.0
12532.0,419.0,2.0,5548.0,56.0,0.0,36704.0,72.07,36901.0
12693.0,432.0,2.0,4841.0,44.0,0.0,35823.0,68.8,35903.0
10741.0,435.0,2.0,4022.0,42.0,21.0,32932.0,65.23,32853.0
9445.0,434.0,38.0,2357.0,42.0,8.0,29695.0,63.29,29696.0
4338.0,275.0,632.0,1152.0,32.0,4.0,28033.0,46.17,28161.0
4087.0,270.0,1460.0,748.0,32.0,0.0,25750.0,42.0,25814.0
4091.0,270.0,2013.0,502.0,32.0,0.0,24517.0,40.8,24609.0
4062.0,270.0,2479.0,493.0,32.0,1.0,23911.0,39.69,24062.0
3893.0,274.0,2608.0,584.0,32.0,3.0,23876.0,39.2,23903.0
4020.0,274.0,2466.0,586.0,32.0,1.0,24445.0,40.0,24462.0
4233.0,277.0,1181.0,792.0,32.0,1.0,27027.0,44.93,27029.0
4919.0,288.0,134.0,1918.0,37.0,9.0,31924.0,58.34,31669.0
5981.0,334.0,0.0,3437.0,56.0,61.0,35351.0,62.2,35277.0
5959.0,335.0,1.0,4103.0,516.0,650.0,36288.0,66.2,36330.0
5995.0,338.0,0.0,4118.0,1475.0,1695.0,36612.0,68.52,36982.0
5992.0,335.0,47.0,4358.0,2284.0,2715.0,36296.0,66.49,36787.0
5882.0,349.0,1.0,3403.0,2857.0,3317.0,35645.0,63.31,36279.0
5626.0,353.0,0.0,2513.0,3217.0,3422.0,35172.0,61.84,35781.0
5445.0,350.0,2.0,1298.0,3253.0,3350.0,33895.0,57.46,34485.0
5399.0,349.0,0.0,1290.0,3084.0,3012.0,33283.0,57.59,33826.0
5903.0,358.0,81.0,1538.0,2475.0,2280.0,33030.0,60.69,33745.0
7059.0,361.0,1.0,2660.0,1187.0,1292.0,33542.0,62.56,34067.0
8464.0,359.0,0.0,4544.0,303.0,437.0,35944.0,67.11,36388.0
8877.0,350.0,0.0,5834.0,98.0,4.0,37553.0,70.2,37797.0
9161.0,350.0,0.0,5939.0,80.0,8.0,37604.0,69.1,37691.0
9945.0,345.0,0.0,5030.0,44.0,16.0,36831.0,63.89,36952.0
9364.0,350.0,0.0,2885.0,44.0,11.0,33972.0,61.84,34327.0
6989.0,346.0,90.0,1883.0,35.0,6.0,30733.0,54.96,31228.0
5673.0,287.0,771.0,1290.0,28.0,1.0,28057.0,48.04,28401.0
4462.0,282.0,964.0,539.0,28.0,3.0,25764.0,43.22,25944.0
4247.0,283.0,1264.0,517.0,27.0,1.0,24495.0,43.05,24597.0
4314.0,283.0,1868.0,601.0,27.0,1.0,23887.0,43.21,24158.0
4325.0,280.0,1966.0,602.0,27.0,0.0,23892.0,43.05,24076.0
4519.0,277.0,1922.0,805.0,27.0,0.0,24438.0,46.83,24612.0
4877.0,281.0,935.0,1226.0,27.0,0.0,27040.0,60.69,27154.0
5742.0,324.0,8.0,3538.0,32.0,2.0,31798.0,68.03,32225.0
6583.0,343.0,0.0,5459.0,39.0,58.0,35150.0,71.46,35671.0
6658.0,345.0,1.0,5677.0,411.0,497.0,35953.0,78.9,36366.0
6920.0,347.0,0.0,5342.0,1258.0,1345.0,36439.0,81.12,36501.0
6651.0,351.0,0.0,5628.0,1960.0,2281.0,36048.0,77.15,36304.0
6661.0,352.0,0.0,4730.0,2480.0,2895.0,35561.0,71.15,35821.0
6446.0,359.0,1.0,4199.0,2688.0,3159.0,35186.0,68.25,35422.0
6415.0,362.0,0.0,2791.0,2683.0,3111.0,33909.0,63.89,34070.0
6723.0,360.0,0.0,2188.0,2420.0,2643.0,33322.0,63.01,33419.0
6275.0,352.0,0.0,2937.0,2003.0,1871.0,33330.0,64.89,33189.0
6931.0,352.0,0.0,3782.0,905.0,830.0,33811.0,67.11,33748.0
8088.0,353.0,0.0,4836.0,213.0,285.0,36114.0,69.96,36210.0
8441.0,356.0,0.0,5574.0,112.0,31.0,37535.0,70.52,38021.0
8539.0,355.0,0.0,5207.0,79.0,11.0,37633.0,68.75,38219.0
8809.0,347.0,0.0,3599.0,32.0,22.0,36809.0,62.99,37223.0
6398.0,346.0,0.0,3038.0,31.0,15.0,33939.0,55.0,34534.0
4840.0,339.0,33.0,1374.0,31.0,0.0,30630.0,45.67,31369.0
3825.0,286.0,878.0,972.0,31.0,4.0,27865.0,39.0,28158.0
3485.0,276.0,2130.0,993.0,31.0,0.0,25617.0,35.0,25897.0
